Pyrometer1,Pyrometer2,Voltage,Current,Acoustic Noise
20.07539,20.65987,38.91771,268.6772,-0.03203211
20.18374,20.71328,38.05701,267.8918,-0.03364974
20.1288,20.68734,37.84336,267.4878,-0.03929618
20.07539,20.68734,36.87584,267.8918,-0.04817788
19.96856,20.60646,37.95019,267.4878,-0.0444085
19.88768,20.52558,39.45489,267.8918,-0.04845257
19.75339,20.52558,40.15382,266.2984,-0.04764375
19.83427,20.47216,38.70406,266.7023,-0.03769381
19.88768,20.52558,39.45489,266.2984,-0.03876206
19.96856,20.55305,30.10011,266.2984,-0.03688499
20.04944,20.63393,28.70224,267.0839,-0.03177268
20.15627,20.63393,26.92895,268.6772,-0.03015505
20.20968,20.63393,27.73471,269.0587,-0.02476804
20.10286,20.55305,27.41424,269.0587,-0.01965572
20.02197,20.47216,27.03577,269.8667,-0.01938103
19.8068,20.36381,26.98388,270.6521,-0.01616103
19.8068,20.25699,26.76718,270.6521,-0.02127335
19.91515,20.3104,26.66036,270.6521,-0.02261629
19.91515,20.04181,26.60542,271.4376,-0.02127335
20.02197,20.63393,26.28494,270.2482,-0.0234251
20.02197,20.63393,26.01636,271.8191,-0.01938103
20.23715,20.63393,25.96142,272.2231,-0.01857221
20.15627,20.60646,26.06825,273.794,-0.01320046
20.02197,20.57899,25.96142,273.4125,-0.01184227
20.02197,20.55305,26.01636,273.4125,-0.00431876
19.88768,20.49811,25.90648,274.198,-0.00270114
19.75339,20.47216,26.28494,273.794,0.00375412
19.8068,20.52558,26.82212,274.198,0.00456294
19.88768,20.55305,26.7153,274.198,0.00134294
19.96856,20.63393,25.79966,273.794,0.00322
20.02197,20.68734,25.47613,274.5795,-0.00376938
20.1288,20.63393,25.6379,274.198,-0.01158283
20.10286,20.65987,27.1426,275.3874,-0.01750397
20.10286,20.60646,25.90648,275.3874,-0.02368453
20.04944,20.52558,25.36931,275.769,-0.03473324
19.88768,20.49811,25.42425,275.769,-0.03876206
19.78086,20.47216,26.98388,276.1729,-0.04306556
19.78086,20.49811,27.30436,275.3874,-0.05113845
19.86174,20.57899,26.28494,275.3874,-0.05490782
19.86174,20.60646,25.69283,276.5544,-0.05652545
19.99451,20.63393,26.76718,276.9584,-0.05786839
20.20968,20.60646,26.12318,275.769,-0.06163777
20.23715,20.60646,25.69283,275.769,-0.06029484
20.15627,20.39128,25.96142,276.9584,-0.06487303
20.18374,20.49811,26.92895,277.3623,-0.06755891
19.99451,20.41875,26.12318,277.3623,-0.07024478
19.96856,20.20358,27.19753,277.7439,-0.06890184
20.07539,20.49811,26.55354,278.5293,-0.07105359
20.04944,20.55305,27.09071,277.7439,-0.07186241
20.10286,20.60646,26.39177,278.1478,-0.06487303
20.15627,20.57899,27.89647,277.7439,-0.0632554
20.34398,20.65987,27.35929,278.1478,-0.05490782
20.42486,20.60646,27.95141,278.5293,-0.04280613
20.29056,20.52558,27.30436,278.5293,-0.03769381
20.23715,20.49811,28.0033,278.9333,-0.01993041
20.20968,20.41875,27.19753,277.7439,-0.01104871
20.07539,20.52558,27.57294,279.3148,-0.00431876
20.02197,20.60646,27.89647,279.3148,0.0043035
20.10286,20.63393,27.19753,278.9333,0.00886644
20.20968,20.68734,28.54047,278.9333,0.01022464
20.29056,20.71328,28.65035,279.7188,0.01075876
20.34398,20.63393,28.48858,278.1478,0.00941582
20.47827,20.65987,27.89647,278.5293,0.00967525
20.39739,20.60646,28.75717,279.3148,0.01237639
20.39739,20.49811,29.18752,278.5293,0.01855695
20.31803,20.52558,28.05823,278.9333,0.02743865
20.15627,20.57899,28.16506,278.1478,0.03497741
20.04944,20.63393,28.54047,279.7188,0.05354962
20.1288,20.68734,28.11317,279.7188,0.06243133
20.23715,20.74075,28.97082,279.3148,0.07750885
20.26309,20.68734,29.02576,279.7188,0.08826761
20.39739,20.71328,29.34929,279.7188,0.1001099
20.37144,20.52558,30.15505,278.5293,0.1046881
20.37144,20.47216,29.7247,279.3148,0.1122268
20.23715,20.65987,29.34929,279.7188,0.111418
20.29056,20.1227,29.77964,278.9333,0.1057563
20.1288,20.55305,31.12257,280.1227,0.1011934
20.02197,20.49811,30.5854,278.9333,0.0917623
20.1288,20.63393,30.47857,278.5293,0.08181235
20.1288,20.71328,30.15505,277.7439,0.07319009
20.18374,20.60646,31.01575,278.1478,0.06134782
20.34398,20.55305,31.06763,278.9333,0.05246612
20.4508,20.55305,31.17751,278.9333,0.04089855
20.42486,20.52558,30.5854,278.9333,0.03390917
20.31803,20.4447,31.28434,278.1478,0.02475278
20.20968,20.47216,32.35868,278.5293,0.01910634
20.15627,20.49811,31.4461,279.3148,0.01883164
20.10286,20.57899,29.93835,278.1478,0.0207087
20.07539,20.65987,29.88646,278.1478,0.01991515
20.15627,20.60646,29.99328,278.5293,0.02287572
20.23715,20.63393,29.7247,278.5293,0.02609571
20.39739,20.57899,29.77964,278.1478,0.0207087
20.4508,20.52558,29.83152,278.9333,0.02151752
20.47827,20.47216,29.93835,278.5293,0.01667989
20.34398,20.47216,29.29435,279.3148,0.01506226
20.31803,20.47216,29.77964,278.5293,0.00833232
20.23715,20.52558,29.7247,278.9333,0.00564644
20.10286,20.60646,29.51105,279.3148,-0.00376938
20.10286,20.60646,29.40117,278.9333,-0.01320046
20.20968,20.60646,29.45611,278.9333,-0.02208216
20.26309,20.65987,29.7247,279.3148,-0.03284092
20.42486,20.71328,29.56293,278.9333,-0.04306556
20.50574,20.49811,27.89647,279.7188,-0.04710963
20.34398,20.33787,29.51105,280.1227,-0.05303077
20.42486,20.41875,29.40117,279.3148,-0.05921133
20.37144,20.52558,29.29435,280.1227,-0.05760896
20.1288,20.55305,29.23941,280.5042,-0.05921133
20.1288,20.63393,29.45611,280.1227,-0.06136308
20.07539,20.65987,29.02576,280.5042,-0.05032963
20.15627,20.65987,29.40117,279.7188,-0.04334025
20.18374,20.63393,29.45611,279.7188,-0.03445855
20.29056,20.60646,28.97082,280.1227,-0.02745391
20.4508,20.49811,26.92895,279.3148,-0.01938103
20.47827,20.47216,28.11317,280.9082,-0.01400928
20.39739,20.47216,28.91893,280.5042,-0.00619583
20.31803,20.52558,28.75717,280.5042,0.00537175
20.18374,20.60646,28.27188,282.0976,0.00886644
20.07539,20.63393,28.54047,280.9082,0.01129288
20.07539,20.68734,28.59541,280.9082,0.02366927
20.18374,20.63393,28.16506,280.1227,0.02394396
20.15627,20.60646,27.19753,282.0976,0.02743865
20.31803,20.55305,27.95141,280.5042,0.02824747
20.39739,20.47216,28.38176,281.2897,0.02879685
20.4508,20.39128,28.48858,282.0976,0.03471798
20.37144,20.36381,27.62789,282.0976,0.03551154
20.29056,20.39128,28.16506,280.9082,0.0430503
20.23715,20.52558,28.16506,281.2897,0.04654499
20.02197,20.57899,26.33683,282.0976,0.05167257
19.99451,20.55305,27.25247,281.6937,0.05919607
20.04944,20.68734,26.98388,282.0976,0.06027957
20.1288,20.60646,26.17507,281.6937,0.0662007
20.1288,20.57899,25.90648,282.0976,0.05947076
20.26309,20.49811,26.23001,282.4792,0.06027957
20.34398,20.25699,26.7153,283.2646,0.05570138
20.20968,20.3104,26.76718,284.0501,0.04494262
20.26309,20.36381,25.42425,284.0501,0.04224148
20.04944,20.41875,25.36931,282.4792,0.03175741
19.94109,20.39128,24.93896,283.2646,0.02421865
19.88768,20.36381,25.15566,284.0501,0.01291051
19.96856,20.36381,24.83213,284.858,0.01237639
19.99451,20.33787,24.56355,285.6435,0.00994995
20.07539,20.22952,24.72531,284.858,0.00941582
20.18374,20.20358,24.72531,285.2395,0.01344463
20.26309,20.20358,24.40178,284.858,0.01425345
20.10286,20.20358,24.3499,284.858,0.01452814
20.10286,20.28446,24.18813,285.6435,0.02125809
20.02197,20.33787,24.02637,286.025,0.01774814
19.88768,20.39128,24.07826,286.8329,0.01748871
19.75339,20.33787,23.97143,287.2144,0.0121017
19.75339,20.3104,23.97143,286.8329,0.00645526
19.83427,20.25699,23.70284,286.8329,0.00079355
19.88768,20.22952,23.75778,286.8329,-0.01345989
19.94109,20.17611,23.70284,287.2144,-0.0266451
20.07539,20.20358,23.59602,288.4039,-0.03848736
19.99451,20.3104,23.80967,288.7854,-0.05409901
19.94109,20.39128,23.65096,287.9999,-0.05921133
19.83427,20.47216,23.75778,287.6184,-0.07132828
19.75339,20.20358,23.70284,288.4039,-0.07697473
19.61909,20.41875,23.70284,289.5933,-0.07859236
19.59315,20.3104,23.80967,289.1894,-0.08182761
19.72744,20.25699,23.65096,289.5933,-0.0799353
19.67251,20.22952,23.75778,289.9748,-0.07724942
19.91515,20.22952,23.91954,290.7603,-0.0799353
19.99451,20.22952,23.65096,289.9748,-0.07752411
19.88768,20.22952,24.1332,290.7603,-0.07752411
19.83427,20.3104,24.67037,290.3788,-0.08182761
19.75339,20.39128,24.67037,290.7603,-0.07805824
19.67251,20.33787,24.99389,290.7603,-0.07967586
