Time [s];Schweissstrom [A];Schweissspannung [V];Drahtvorschub [m/min];Gasfluss [l/min];Motorstrom [A]
7,3636;53,00;19,05;0,00;0,00;0,00
7,3939;53,00;19,05;0,00;0,00;0,00
7,4242;53,00;18,90;0,00;0,00;0,00
7,4545;54,00;19,05;0,00;0,00;0,00
7,4848;53,00;19,05;0,00;0,00;0,00
7,5152;52,00;19,05;0,00;0,00;0,00
7,5455;53,00;19,05;0,00;0,00;0,00
7,5758;53,00;19,05;0,00;0,00;0,00
7,6061;52,00;19,05;0,00;0,00;0,00
7,6364;53,00;19,05;0,00;0,00;0,00
7,6667;52,00;19,05;0,00;0,00;0,00
7,6970;54,00;19,05;0,00;0,00;0,00
7,7273;52,00;19,05;0,00;0,00;0,00
7,7576;52,00;19,05;0,00;0,00;0,00
7,7879;51,00;19,05;0,00;0,00;0,00
7,8182;54,00;19,05;0,00;0,00;0,00
7,8485;54,00;19,05;0,00;0,00;0,00
7,8788;54,00;19,05;0,00;0,00;0,00
7,9091;53,00;19,05;0,00;0,00;0,00
7,9394;53,00;19,05;0,00;0,00;0,00
7,9697;53,00;19,05;0,00;0,00;0,00
8,0000;54,00;19,05;0,00;0,00;0,00
8,0303;52,00;19,05;0,00;0,00;0,00
8,0606;52,00;19,05;0,00;0,00;0,00
8,0909;52,00;19,05;0,00;0,00;0,00
8,1212;54,00;19,05;0,00;0,00;0,00
8,1515;52,00;19,05;0,00;0,00;0,00
8,1818;54,00;19,05;0,00;0,00;0,00
8,2121;52,00;19,05;0,00;0,00;0,00
8,2424;53,00;18,90;0,00;0,00;0,00
8,2727;54,00;19,05;0,00;0,00;0,00
8,3030;52,00;19,05;0,00;0,00;0,00
8,3333;53,00;19,05;0,00;0,00;0,00
8,3636;55,00;19,05;0,00;0,00;0,00
8,3939;53,00;19,05;0,00;0,00;0,00
8,4242;54,00;19,05;0,00;0,00;0,00
8,4545;54,00;19,05;0,00;0,00;0,00
8,4848;55,00;19,05;0,00;0,00;0,00
8,5152;54,00;19,05;0,00;0,00;0,00
